Site name,Date planted,Address,Street,Vegetation Common name 1,Vegetation Common name 2,Vegetation Common name 3,Vegetation species name 1,Vegetation species name 2,Vegetation species name 3,Coordinates (N),Coordinates (W)
Clinton Ave. Tree 3,6/12/14,3210,Clinton Ave.,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
Cutting Blvd. Tree 1,2/15/14,2120,Cutting Blvd.,Strawberry Tree,,,Arbutus marina,,,,
Cutting Blvd. Tree 2,2/15/14,2120,Cutting Blvd.,Strawberry Tree,,,Arbutus marina,,,,
Florida Ave. Tree 1,4/4/14,216,Florida Ave.,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
Florida Ave. Tree 2,1/31/14,317,Florida Ave.,Eastern Redbud,,,Cercis canadensis,,,,
Florida Ave. Tree 3,1/31/14,333,Florida Ave.,Eastern Redbud,,,Cercis canadensis,,,,
Florida Ave. Tree 4,1/15/14,822,Florida Ave.,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
Florida Ave. Tree 5,1/15/14,827,Florida Ave.,Ginkgo biloba,,,Ginkgo biloba,,,,
Florida Ave. Tree 6,1/15/14,1418,Florida Ave.,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
Garvin Ave. Tree 1,6/23/14,3425,Garvin Ave.,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
Harbour Way South Tree 1,6/26/14,171,Harbour Way South,Coast Live Oak,,,Quercus agrifolia,,,,
Hellings Ave. Tree 1,4/4/14,1532,Hellings Ave.,Eastern Redbud,,,Cercis canadensis,,,,
Hellings Ave. Tree 2,4/4/14,1526,Hellings Ave.,Eastern Redbud,,,Cercis canadensis,,,,
Lucas Ave. Tree 1,1/13/14,812,Lucas Ave.,Strawberry Tree,,,Arbutus marina,,,,
Maine Ave. Tree 1,1/24/14,1621,Maine Ave.,Southern Live Oak,,,Quercus virginiana,,,,
Maine Ave. Tree 2,6/23/14,1500,Maine Ave.,Strawberry Tree,,,Arbutus marina,,,,
Maine Ave. Tree 3,2/14/14,1500,Maine Ave.,Strawberry Tree,,,Arbutus marina,,,,
Marina Way Tree 1,3/22/14,300,Marina Way ,Red Maple,,,Acer rubrum,,,,
Marina Way Tree 2,3/22/14,300,Marina Way ,Red Maple,,,Acer rubrum,,,,
Marina Way Tree 3,2/14/14,268,Marina Way ,Coast Live Oak,,,Quercus agrifolia,,,,
Marina Way Tree 4,2/14/14,268,Marina Way ,Coast Live Oak,,,Quercus agrifolia,,,,
Marina Way Tree 5,2/14/14,268,Marina Way ,Coast Live Oak,,,Quercus agrifolia,,,,
Nevin Ave. Tree 1,4/5/14,4420,Nevin Ave.,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
Nevin Ave. Tree 2,4/5/14,4420,Nevin Ave.,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
Nevin Ave. Tree 3,4/5/14,4420,Nevin Ave.,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
Nevin Ave. Tree 4,4/5/14,4420,Nevin Ave.,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
Nevin Ave. Tree 5,4/5/14,4420,Nevin Ave.,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
Nevin Ave. Tree 6,4/5/14,4420,Nevin Ave.,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
South 5th St. Tree 1,3/22/14,321,S 5th Street,Strawberry Tree,,,Arbutus marina,,,,
South 9th St. Tree 1,3/22/14,418,S 9th Street,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
South 12th St. Tree 1,2/15/14,250,S. 12th Street,Strawberry Tree,,,Arbutus marina,,,,
South 12th St. Tree 2,2/15/14,250,S. 12th Street,Strawberry Tree,,,Arbutus marina,,,,
South 15th St. Tree 1,1/24/14,265,S. 15th Street,Red Maple,,,Acer rubrum,,,,
South 15th St. Tree 2,1/24/14,265,S. 15th Street,Red Maple,,,Acer rubrum,,,,
South 15th St. Tree 3,1/24/14,265,S. 15th Street,Red Maple,,,Acer rubrum,,,,
South 15th St. Tree 4,1/24/14,265,S. 15th Street,Red Maple,,,Acer rubrum,,,,
South 15th St. Tree 5,2/12/14,301,S. 15th Street,Red Maple,,,Acer rubrum,,,,
South 15th St. Tree 6,2/12/14,301,S. 15th Street,Red Maple,,,Acer rubrum,,,,
South 15th St. Tree 7,2/12/14,301,S. 15th Street,Red Maple,,,Acer rubrum,,,,
South 15th St. Tree 8,2/12/14,301,S. 15th Street,Red Maple,,,Acer rubrum,,,,
South 15th St. Tree 9,2/15/14,264,S. 15th Street,Eastern Redbud,,,Cercis canadensis,,,,
South 15th St. Tree 10,2/15/14,264,S. 15th Street,Eastern Redbud,,,Cercis canadensis,,,,
South 16th St. Tree 1,1/15/14,210,S. 16th Street,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
South 17th St. Tree 1,1/16/14,371,S. 17th Street,Red Maple,,,Acer rubrum,,,,
South 17th St. Tree 2,1/16/14,371,S. 17th Street,Red Maple,,,Acer rubrum,,,,
South 17th St. Tree 3,1/16/14,371,S. 17th Street,Red Maple,,,Acer rubrum,,,,
South 17th St. Tree 4,1/16/14,405,S. 17th Street,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
South 17th St. Tree 5,1/16/14,405,S. 17th Street,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
South 17th St. Tree 6,2/14/14,405,S. 17th Street,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
South 18th St. Tree 1,1/31/14,229,S. 18th Street,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
South 20th St. Tree 1,2/7/14,355,S. 20th Street,Eastern Redbud,,,Cercis canadensis,,,,
South 7th St. Tree 1,1/14/14,165,S. 7th Street,Red Maple,,,Acer rubrum,,,,
South 7th St. Tree 2,1/14/14,165,S. 7th Street,Red Maple,,,Acer rubrum,,,,
South 7th St. Tree 3,1/14/14,165,S. 7th Street,Red Maple,,,Acer rubrum,,,,
South 7th St. Tree 4,1/14/14,165,S. 7th Street,Red Maple,,,Acer rubrum,,,,
Solano Ave. Tree 1,6/19/14,5235,Solano Ave.,Ginkgo biloba,,,Ginkgo biloba,,,,
Solano Ave. Tree 2,6/19/14,5235,Solano Ave.,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
Solano Ave. Tree 3,6/19/14,5235,Solano Ave.,Red Maple,,,Acer rubrum,,,,
Ventura St. Tree 1,6/19/14,770,Ventura St. ,Coast Live Oak,,,Quercus agrifolia,,,,
Virginia Ave. Tree 1,1/31/14,1207,Virginia Ave.,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
Virginia Ave. Tree 2,1/31/14,1611,Virginia Ave.,Ginkgo biloba,,,Ginkgo biloba,,,,
Virginia Ave. Tree 3,2/7/14,1201,Virginia Ave.,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
Virginia Ave. Tree 4,2/7/14,1203,Virginia Ave.,Red Maple,,,Acer rubrum,,,,
Wall Ave. Tree 1,4/9/14,3419,Wall Ave.,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
Wall Ave. Tree 2,4/9/14,3419,Wall Ave.,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
Wall Ave. Tree 3,4/9/14,3525,Wall Ave.,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
West Bissell Ave. Tree 1,4/5/14,353,West Bissell Ave.,Strawberry Tree,,,Arbutus marina,,,,
Yuba St. Tree 1,6/19/14,778,Yuba St.,"Laurel, Sweet Bay",,,Lauris nobilis,,,,
